U1132843960001980000906499800200000123123123AMBIENTE DE HOMOLOGACAO - SEM VALOR FISCAL        
A220250411DINHEIRO                 1000000000400000000000000000000000000
A220250414DINHEIRO                 1000000001500000000000000000000000000
A220250415DINHEIRO                 1000000000600000000000000000000000000
A220250512DINHEIRO                 1000000002300000000000000000000000000
A220250514DINHEIRO                 1000000003700000000000000000000000000
A220250515DINHEIRO                 1000000003900000000000000000000000000
A220250520DINHEIRO                 1000000010500000000000000000000000000
A220250529DINHEIRO                 1000000000200000000000000000000000000
P21328439600019800000000001530000000012011000SEM SOJA DM 66I68 IPRO PEN 6,5                    SC    ATN180000000000000100
P21328439600019800000000001531000000012011000SEM SOJA DON MARIO 5.8I RR 40KG PEN 6.5 (APOLO)   SC    ATN180000000000000100
P21328439600019800000000001532000000012011000SEM SOJA DOW 5D634 RR 25KG TSI2                   SC    ATN180000000000000100
P21328439600019800000000001533000000012011000SEM SOJA HO AMAMBAY IPRO 200 MIL SEM.             SC    ATN180000000000000100
P21328439600019800000000001534000000012011000SEM SOJA HO AMAMBAY IPRO 200 MIL SEM. - TSI       SC    ATN180000000000000100
P21328439600019800000000001535000000012011000SEM SOJA HO AMAMBAY IPRO PEN 5,5 25KG - TSI       SC    ATN180000000000000100
P21328439600019800000000001536000000012011000SEM SOJA HO JACUTINGA IPRO 200 MIL SEM.           SC    ATN180000000000000100
P21328439600019800000000001537000000012011000SEM SOJA HO JACUTINGA IPRO 200 MIL SEM. - TSI     SC    ATN180000000000000100
P21328439600019800000000001538000000012011000SEM SOJA HO JACUTINGA IPRO 200 MIL SEM. P1- TSI   SC    ATN180000000000000100
P21328439600019800000000001539000000012011000SEM SOJA HO PIRAPO IPRO 200 MIL SEM.              SC    ATN180000000000000100
P21328439600019800000000001540000000012011000SEM SOJA LG 60150 IPRO 25KG PEN 6,5               SC    ATN180000000000000100
P21328439600019800000000001541000000012011000SEM SOJA M-SOY 5838 IPRO 25KG PEN 5.5             SC    ATN180000000000000100
P21328439600019800000000001542000000012011000SEM SOJA M-SOY 5838 IPRO 25KG PEN 6.5 TSI         SC    ATN180000000000000100
P21328439600019800000000001543000000012011000SEM SOJA M-SOY 5838 IPRO PEN 6.5                  SC    ATN180000000000000100
P21328439600019800000000001544000000012011000SEM SOJA M-SOY 5838 IPRO PEN 6.5 BB 1000KG        T     ATN180000000000000100
P21328439600019800000000001545000000012011000SEM SOJA M-SOY 5838 IPRO PEN 6.5- TSI             SC    ATN180000000000000100
P21328439600019800000000001546000000012011000SEM SOJA M-SOY 5917 IPRO P1 40KG - TSI            SC    ATN180000000000000100
P21328439600019800000000001547000000012011000SEM SOJA M-SOY 5917 IPRO PEN 5.5                  SC    ATN180000000000000100
P21328439600019800000000001548000000012011000SEM SOJA M-SOY 5917 IPRO PEN 5.5 TRATADO          SC    ATN180000000000000100
P21328439600019800000000001549000000012011000SEM SOJA M-SOY 5917 IPRO PEN 6.5 25 KG            SC    ATN180000000000000100
P21328439600019800000000001550000000012011000SEM SOJA M-SOY 5917 IPRO PEN 6.5 25 KG-TSI        SC    ATN180000000000000100
P21328439600019800000000001551000000012011000SEM SOJA M-SOY 5917 IPRO PEN 6.5 25KG - TSI 2     SC    ATN180000000000000100
P21328439600019800000000001552000000012011000SEM SOJA M-SOY 5917 IPRO PEN 6.5 40 KG            SC    ATN180000000000000100
P21328439600019800000000001553000000012011000SEM SOJA M-SOY 5917 IPRO PEN 6.5 40 KG-TSI        SC    ATN180000000000000100
P21328439600019800000000001554000000012011000SEM SOJA M-SOY 6210 IPRO PEN 5.5 BB 1000KG        T     ATN180000000000000100
P21328439600019800000000001555000000012011000SEM SOJA M-SOY 6410 IPRO PEN 5.5                  SC    ATN180000000000000100
P21328439600019800000000001556000000012011000SEM SOJA M-SOY 6410 IPRO PEN 5.5 BB 1000KG        T     ATN180000000000000100
P21328439600019800000000001557000000012011000SEM SOJA NA 5909 RG 40 KG P. 5,5                  SC    ATN180000000000000100
P21328439600019800000000001558000000012011000SEM SOJA NA 5909 RG PEN 6,5                       SC    ATN180000000000000100
P21328439600019800000000001559000000012011000SEM SOJA NEO 530 IPRO 40KG - PEN 6,0              SC    ATN180000000000000100
P21328439600019800000000001560000000012011000SEM SOJA NEO 530 IPRO 40KG - PEN 6,5 (P.2)        SC    ATN180000000000000100
P21328439600019800000000001561000000012011000SEM SOJA NEO 530 IPRO 40KG - PEN 7,0              SC    ATN180000000000000100
P21328439600019800000000001562000000012011000SEM SOJA NEO 580 IPRO PEN 7,0 40KG - TSI          SC    ATN180000000000000100
P21328439600019800000000001563000000012011000SEM SOJA NEO610 IPRO 200 MIL SEMENTES             SC    ATN180000000000000100
P21328439600019800000000001564000000012011000SEM SOJA NEO610 IPRO 40KG - PEN 6,5 (P.2)         SC    ATN180000000000000000
P21328439600019800000000001565000000012011000SEM SOJA NIDERA NA 5909 RG 25KG PEN 5,5           SC    ATN180000000000000100
P21328439600019800000000001566000000012011000SEM SOJA NIDERA NA 5909 RG 25KG PEN 5,5 TSI       SC    ATN180000000000000100
P21328439600019800000000001567000000012011000SEM SOJA NIDERA NA 5909 RG 25KG PEN 6,5 - TSI 2   SC    ATN180000000000000100
P21328439600019800000000001568000000012011000SEM SOJA NIDERA NA 5909 RG 25KG PEN 6,5-TSI       SC    ATN180000000000000100
P21328439600019800000000001569000000012011000SEM SOJA NIDERA NA 5909 RG 40KG PEN 5,5 TSI       SC    ATN180000000000000100
P21328439600019800000000001570000000012011000SEM SOJA NIDERA NA 5909 RG 40KG PEN 6,5 - TL      SC    ATN180000000000000100
P21328439600019800000000001571000000012011000SEM SOJA NIDERA NA 5909 RG 40KG PEN 6,5 - TSI 2   SC    ATN180000000000000100
P21328439600019800000000001572000000012011000SEM SOJA NIDERA NA 5909 RG 40KG PEN 6,5-TSI       SC    ATN180000000000000100
P21328439600019800000000001573000000012011000SEM SOJA NIDERA NA 5909 RG 40KG PEN 7,0           SC    ATN180000000000000100
P21328439600019800000000001574000000012011000SEM SOJA NIDERA NA 5909 RR 40KG PEN 5,5           SC    ATN180000000000000100
P21328439600019800000000001575000000012011000SEM SOJA NIDERA NS 4823 RR 25KG PEN 5,5           SC    ATN180000000000000100
P21328439600019800000000001576000000012011000SEM SOJA NIDERA NS 4823 RR 40KG - T1              SC    ATN180000000000000100
P21328439600019800000000001577000000012011000SEM SOJA NIDERA NS 4823 RR 40KG PEN 5,5           SC    ATN180000000000000100
P21328439600019800000000001578000000012011000SEM SOJA NS 4823 RR 25KG PEN 6,5- TSI             SC    ATN180000000000000100
P21328439600019800000000001579000000012011000SEM SOJA NS 4823 RR 25KG PEN P2                   SC    ATN180000000000000100
P21328439600019800000000001580000000012011000SEM SOJA NS 4823 RR 25KG PEN P2 (6,5) - TSI 2     SC    ATN180000000000000100
P21328439600019800000000001581000000012011000SEM SOJA NS 4823 RR 40KG PEN 6,5 - TSI            SC    ATN180000000000000100
P21328439600019800000000001582000000012011000SEM SOJA NS 4823 RR 40KG PEN 7,0 - TSI            SC    ATN180000000000000100
P21328439600019800000000001583000000012011000SEM SOJA NS 4823 RR 40KG PEN P2                   SC    ATN180000000000000100
P21328439600019800000000001584000000012011000SEM SOJA NS 4823 RR 40KG PEN P2 (6,5)             SC    ATN180000000000000100
P21328439600019800000000001585000000012011000SEM SOJA NS 4823 RR 40KG PEN P2 (6,5) - TSI 2     SC    ATN180000000000000100
P21328439600019800000000001586000000012011000SEM SOJA NS 5258 RR 40KG PEN 5,5                  SC    ATN180000000000000100
P21328439600019800000000001587000000012011000SEM SOJA NS 5258 RR 40KG PEN 5,5 TSI              SC    ATN180000000000000100
P21328439600019800000000001588000000012011000SEM SOJA NS 5258 RR 40KG PEN 6,5                  SC    ATN180000000000000100
P21328439600019800000000001589000000012011000SEM SOJA NS 5258 RR 40KG PEN 6,5 TSI              SC    ATN180000000000000100
P21328439600019800000000001590000000012011000SEM SOJA NS 5258 RR 40KG PEN 7,0                  SC    ATN180000000000000100
P21328439600019800000000001591000000012011000SEM SOJA NS 5445 IPRO 40KG PEN 5,5                SC    ATN180000000000000100
P21328439600019800000000001592000000012011000SEM SOJA NS 5445 IPRO 40KG PEN 5,5 - TSI          SC    ATN180000000000000100
P21328439600019800000000001593000000012011000SEM SOJA NS 5445 IPRO 40KG PEN 6,5 - TSI          SC    ATN180000000000000100
P21328439600019800000000001594000000012011000SEM SOJA NS 5445 IPRO 40KG PEN 6,5 - TSI 2        SC    ATN180000000000000100
P21328439600019800000000001595000000012011000SEM SOJA NS 5445 IPRO 40KG PEN P2                 SC    ATN180000000000000100
P21328439600019800000000001596000000012011000SEM SOJA NS 5700 IPRO 40KG PEN 5,5 -TSI           SC    ATN180000000000000100
P21328439600019800000000001597000000012011000SEM SOJA NS 5700 IPRO 40KG PEN 6,5 TSI            SC    ATN180000000000000100
P21328439600019800000000001598000000012011000SEM SOJA NS 5959 IPRO 40KG PEN 5,5 -TSI           SC    ATN180000000000000100
P21328439600019800000000001599000000012011000SEM SOJA NS 5959 IPRO 40KG PEN P-1                SC    ATN180000000000000100
P21328439600019800000000001600000000012011000SEM SOJA NS 5959 IPRO 40KG PEN P-2 (6,5)          SC    ATN180000000000000100
P21328439600019800000000001601000000012011000SEM SOJA NS 6006 IPRO 40KG PEN 6,5                SC    ATN180000000000000100
P21328439600019800000000001602000000012011000SEM SOJA NS 6006 IPRO 40KG PEN 6,5 - TSI          SC    ATN180000000000000100
P21328439600019800000000001603000000012011000SEM SOJA NS 6010 IPRO 40KG PEN 6,5 TSI            SC    ATN180000000000000100
P21328439600019800000000001604000000012011000SEM SOJA NS 6601 IPRO 40KG PEN 6,5                SC    ATN180000000000000100
P21328439600019800000000001605000000012011000SEM SOJA NS 6601 IPRO 40KG PEN 6,5 - TSI 2        SC    ATN180000000000000100
P21328439600019800000000001606000000012011000SEM SOJA NS 6909 IPRO 40 KG - PEN 5,5             SC    ATN180000000000000100
P21328439600019800000000001607000000012011000SEM SOJA NS 6909 IPRO 40 KG - PEN 6,5             SC    ATN180000000000000100
P21328439600019800000000001608000000012011000SEM SOJA NS 6909 IPRO 40 KG - PEN 6,5 - TSI       SC    ATN180000000000000100
P21328439600019800000000001609000000012011000SEM SOJA NS 6909 IPRO 40KG - PEN 5,5 - TSI        SC    ATN180000000000000100
P21328439600019800000000001610000000012011000SEM SOJA NS 6909 IPRO 40KG - PEN 6.5 - TSI 2      SC    ATN180000000000000100
P21328439600019800000000001611000000012011000SEM SOJA NS 6909 IPRO 40KG - PEN 6.5- TSI         SC    ATN180000000000000100
P21328439600019800000000001612000000012011000SEM SOJA NS NA 5909 RG 25KG PEN 6,5               SC    ATN180000000000000100
P21328439600019800000000001613000000012011000SEM SOJA NS NA 5909 RG 40KG PEN P2 (6,5)          SC    ATN180000000000000100
P21328439600019800000000001614000000012011000SEM SOJA PIONEER 95R30 IPRO SC 25KG PEN 5,5 (P.1) SC    ATN180000000000000000
P21328439600019800000000001615000000012011000SEM SOJA PIONEER 95R30 IPRO SC 25KG PEN 5,5 (P.1) SC    ATN180000000000000100
P21328439600019800000000001616000000012011000SEM SOJA PIONEER 95R30 IPRO SC 25KG PEN 6,5 (P.2) SC    ATN180000000000000100
P21328439600019800000000001617000000012011000SEM SOJA PIONEER 95R51 25 KG PN 5,5 (P.1)  TRATADOSC    ATN180000000000000100
P21328439600019800000000001618000000012011000SEM SOJA PIONEER 95R51 25 KG PN 6,5 (P.2) TRATADO SC    ATN180000000000000100
P21328439600019800000000001619000000012011000SEM SOJA PIONEER 95R51 BB 1000KG PEN 5,5 (P.1) TSIT     ATN180000000000000100
P21328439600019800000000001620000000012011000SEM SOJA PIONEER 95R51 BB 1000KG PEN 6,5 (P.2)    T     ATN180000000000000100
P21328439600019800000000001621000000012011000SEM SOJA PIONEER 95R51 BB 1000KG PEN 6,5 (P.2) TSIT     ATN180000000000000100
P21328439600019800000000001622000000012011000SEM SOJA PIONEER 95R51 BB 1000KG PEN 6,5 (P.2) TSIT     ATN180000000000000100
P21328439600019800000000001623000000012011000SEM SOJA PIONEER 95R51 SC 25KG - T2               SC    ATN180000000000000100
P21328439600019800000000001624000000012011000SEM SOJA PIONEER 95R51 SC 25KG PEN (P.2)          SC    ATN180000000000000100
P21328439600019800000000001625000000012011000SEM SOJA PIONEER 95R51 SC 25KG PEN 5,5 (P.1)      SC    ATN180000000000000100
P21328439600019800000000001626000000012011000SEM SOJA PIONEER 95R51 SC 25KG PEN 5,5 (P.1) - TSISC    ATN180000000000000100
P21328439600019800000000001627000000012011000SEM SOJA PIONEER 95R51 SC 25KG PEN 6,5 (P2)  TSI  SC    ATN180000000000000100
P21328439600019800000000001628000000012011000SEM SOJA PIONEER 95R51 SC 25KG PEN 6,5 (P2)  TSI 2SC    ATN180000000000000100
P21328439600019800000000001629000000012011000SEM SOJA PIONEER 95R51 SC 25KG PEN P2 - TSI       SC    ATN180000000000000100
P21328439600019800000000001630000000012011000SEM SOJA PIONEER 95R90 IPRO P2 40 KG              SC    ATN180000000000000100
P21328439600019800000000001631000000012011000SEM SOJA PIONEER 95R90 IPRO P2 40 KG TSI 2        SC    ATN180000000000000100
P21328439600019800000000001632000000012011000SEM SOJA PIONEER 95R90 IPRO PEN 5,5 (P1)          SC    ATN180000000000000100
P21328439600019800000000001633000000012011000SEM SOJA PIONEER 95R90 IPRO PEN 5,5 (P1) - 25KG TSSC    ATN180000000000000100
P21328439600019800000000001634000000012011000SEM SOJA PIONEER 95R90 IPRO PEN 6,5 (P2)          SC    ATN180000000000000100
P21328439600019800000000001635000000012011000SEM SOJA PIONEER 95R90 IPRO PEN 6,5 (P2) - TSI 2  SC    ATN180000000000000100
P21328439600019800000000001636000000012011000SEM SOJA PIONEER 95R90 IPRO PEN 6,5 (P2) - TSI BB T     ATN180000000000000100
P21328439600019800000000001637000000012011000SEM SOJA PIONEER 95R90 IPRO PEN 6,5 (P2) 25KG - TSSC    ATN180000000000000100
P21328439600019800000000001638000000012011000SEM SOJA PIONEER 95R95 IPRO SC 25KG - PEN 5,5 (P.1SC    ATN180000000000000100
P21328439600019800000000001639000000012011000SEM SOJA PIONEER 95R95 IPRO SC 25KG - PEN 5,5 -TSISC    ATN180000000000000100
P21328439600019800000000001640000000012011000SEM SOJA PIONEER 95R95 IPRO SC 25KG - PEN 6,5 (P.2SC    ATN180000000000000100
P21328439600019800000000001641000000012011000SEM SOJA PIONEER 95R95 IPRO SC 25KG - PEN 6,5 (P.2SC    ATN180000000000000100
P21328439600019800000000001642000000012011000SEM SOJA PIONEER 95Y02 IPRO 25KG PEN (P.2)        SC    ATN180000000000000100
P21328439600019800000000001643000000012011000SEM SOJA PIONEER 95Y02 IPRO 25KG PEN 5,5 (P.1) 25KSC    ATN180000000000000100
P21328439600019800000000001644000000012011000SEM SOJA PIONEER 95Y02 IPRO 25KG PEN 5,5 (P.1) 25KSC    ATN180000000000000100
P21328439600019800000000001645000000012011000SEM SOJA PIONEER 95Y02 IPRO 25KG PEN 6,5 (P.2) 25KSC    ATN180000000000000100
P21328439600019800000000001646000000012011000SEM SOJA PIONEER 95Y02 IPRO BB 1000KG PEN 2       T     ATN180000000000000100
P21328439600019800000000001647000000010051000SEM SOJA PIONEER 95Y02 IPRO P2+DERMACOR+PONCHO+CO+SC    ATN180000000000000100
P21328439600019800000000001648000000012011000SEM SOJA PIONEER 95Y52 SC 25KG - PEN - (P.2)      SC    ATN180000000000000100
P21328439600019800000000001649000000012011000SEM SOJA PIONEER 95Y52 SC 25KG - PEN - (P.2) TSI  SC    ATN180000000000000100
P21328439600019800000000001650000000012011000SEM SOJA PIONEER 95Y52 SC 25KG - PEN 5,5 - (P.1)  SC    ATN180000000000000100
P21328439600019800000000001651000000012011000SEM SOJA PIONEER 95Y52 SC 25KG - PEN 5,5 - (P.1) TSC    ATN180000000000000100
P21328439600019800000000001652000000012011000SEM SOJA PIONEER 95Y72 SC 25KG PEN (P.2)          SC    ATN180000000000000100
P21328439600019800000000001653000000012011000SEM SOJA PIONEER 95Y72 SC 25KG PEN 5,5 (P.1)      SC    ATN180000000000000100
P21328439600019800000000001654000000012011000SEM SOJA PIONEER 95Y72 SC 25KG PEN 6,5 (P.2) TRATASC    ATN180000000000000100
P21328439600019800000000001655000000012011000SEM SOJA PIONEER 95Y72 SC 25KG PEN P-1 5,5) TSI   SC    ATN180000000000000100
P21328439600019800000000001656000000012011000SEM SOJA PIONEER 95Y72 SC 25KG PEN P2 - TSI       SC    ATN180000000000000100
P21328439600019800000000001657000000012011000SEM SOJA PIONEER 96R10IPRO 25KG PEN 5,5           SC    ATN180000000000000000
P21328439600019800000000001658000000012011000SEM SOJA PIONEER 96R20IPRO 25KG PEN 6,5           SC    ATN180000000000000000
P21328439600019800000000001659000000012011000SEM SOJA PIONEER 96R70IPRO 25KG PEN 5,5           SC    ATN180000000000000000
P21328439600019800000000001660000000012011000SEM SOJA PIONEER 96Y90 25 KG PEN 5,5 (P.1)- TSI   SC    ATN180000000000000100
P21328439600019800000000001661000000012011000SEM SOJA PIONEER 96Y90 25 KG PEN 6,5 (P.2) - TSI  SC    ATN180000000000000100
P21328439600019800000000001662000000012011000SEM SOJA PIONEER 96Y90 25 KG PEN 6,5 (P.2) TRAT. SSC    ATN180000000000000100
P21328439600019800000000001663000000012011000SEM SOJA PIONEER 96Y90 25KG PEN 5,5 (P.1)         SC    ATN180000000000000100
P21328439600019800000000001664000000012011000SEM SOJA PIONEER 96Y90 25KG PEN 6,5 (P.2)         SC    ATN180000000000000100
P21328439600019800000000001665000000010051000SEM SOJA PIONNER 95R30 IPRO 140.000               SC    ATN180000000000000100
P21328439600019800000000001666000000012011000SEM SOJA SYN 1152 RR PN 6.5 25KG                  SC    ATN180000000000000100
P21328439600019800000000001667000000012011000SEM SOJA TMG 7058 IPRO 40KG PEN P2                SC    ATN180000000000000100
P21328439600019800000000001668000000012011000SEM SOJA TMG 7061 IPRO 25KG PEN P1 (5,5) - TSI    SC    ATN180000000000000100
P21328439600019800000000001669000000012011000SEM SOJA TMG 7061 IPRO 25KG PEN P2 (6,5)          SC    ATN180000000000000100
P21328439600019800000000001670000000012011000SEM SOJA TMG 7061 IPRO 25KG PEN P2 (6,5) - TSI    SC    ATN180000000000000100
